date_utc,price_usd,high_usd,low_usd,source
2025-07-19,0.999400,0.999700,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-20,0.999400,0.999700,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-21,0.999600,0.999700,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-22,0.999600,0.999600,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-23,0.999500,0.999700,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-24,0.999500,0.999600,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-25,0.999800,0.999900,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-26,0.999700,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-27,0.999600,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-28,0.999800,1.000000,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-29,1.000100,1.000300,0.999800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-30,1.000000,1.000300,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-31,1.000100,1.000400,0.999800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-01,1.000300,1.000500,0.999900,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-02,1.000100,1.000400,1.000100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-03,0.999800,1.000200,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-04,0.999900,1.000100,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-05,0.999900,1.000100,0.999800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-06,0.999700,1.000100,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-07,0.999600,0.999900,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-08,0.999700,1.000000,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-09,0.999600,0.999900,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-10,0.999800,1.000000,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-11,0.999800,1.000200,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-12,1.000000,1.000100,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-13,0.999600,1.000100,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-14,0.999200,0.999700,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-15,0.999200,0.999600,0.999000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-16,0.999300,0.999400,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-17,0.999300,0.999700,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-18,0.999500,0.999500,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-19,1.000000,1.000100,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-20,0.999800,1.000100,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-21,1.000200,1.000200,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-22,1.000200,1.000200,0.999900,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-23,1.000300,1.000400,1.000000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-24,1.000000,1.000400,1.000000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-25,0.999800,1.000200,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
